開始日,終了日,大会名,会場,住所,状態
2023-06-03,2023-06-04,第41回全日本バウンドテニス選手権大会,東京体育館,,終了
2023-07-08,2023-07-09,第34回北信越ブロックバウンドテニス親善交流大会,いしかわ総合スポーツセンター,,終了
2023-08-06,,第75回石川県民スポーツ大会,かほく市七塚体育センター,,終了
2023-08-11,,第19回北信越ブロックバウンドテニス選手権大会 石川県予選,いしかわ総合スポーツセンター,,終了
2023-10-07,2023-10-08,第26回日本バウンドテニスゴールド 長野大会,長野運動公園総合体育館,,終了
2023-11-03,,第32回いしかわスポーツ・レクリエーション交流大会 バウンドテニス大会,金沢市総合体育館,石川県金沢市泉野出町3-8-1,終了
2023-11-19,,第19回北信越ブロックバウンドテニス選手権大会・第7回北信越ブロックバウンドテニスジュニア選手権大会,滑川市総合体育センター,,終了
2023-12-17,,第42回全日本バウンドテニス選手権大会 石川県予選,白山郷公園体育館,,終了
2024-05-05,2024-05-06,第42回全日本バウンドテニス選手権大会,東京体育館,,終了
2024-06-01,2024-06-02,第35回北信越ブロックバウンドテニス親善交流大会,三条市体育文化会館,,終了
2024-07-07,,第33回いしかわスポーツ・レクリエーション交流大会 バウンドテニス大会,白山郷公園体育館,,終了
2024-08-24,2024-08-25,第78回国民スポーツ大会SAGA2024,SAGAサンライズパーク,,終了
2024-09-08,,第20回北信越ブロックバウンドテニス選手権大会 石川県予選,川北町総合体育館,,終了
2024-10-05,2024-10-06,第27回日本バウンドテニスゴールド 北海道大会,釧路体育館,,終了
2024-11-03,,第20回北信越ブロックバウンドテニス選手権大会,ホテルたがわ体育館,,終了
2024-12-15,,第43回全日本バウンドテニス選手権大会 石川県予選,野々市スポーツセンター,野々市市押野2丁目30,終了
2025-02-16,,令和6年度石川県バウンドテニス選手権大会,金沢市総合体育館,石川県金沢市泉野出町3-8-1,終了
2025-03-02,,第28回石川県バウンドテニスチーム別大会,野々市市スポーツセンター,野々市市押野2丁目30,終了
2025-05-04,2025-05-05,第43回全日本バウンドテニス選手権大会,東京体育館,,終了
2025-06-07,2025-06-08,第36回北信越ブロックバウンドテニス親善交流大会,竜王総合体育館（長野県）,,終了
2025-06-29,,第77回石川県民スポーツ大会,能美市立辰口中学校,,終了
2025-09-07,,第21回北信越ブロックバウンドテニス選手権大会 石川県予選,白山郷公園体育館,,終了
2025-09-20,2025-09-21,第79回国民スポーツ大会・わたSHIGA輝く国スポ,YMITアリーナ（滋賀県草津市）,,終了
2025-10-05,,第34回いしかわスポーツ・レクリエーション交流大会 バウンドテニス大会,白山郷公園体育館,,終了
2025-10-25,2025-10-26,第28回日本バウンドテニスゴールド 宮崎大会,都城市早水公園体育文化センター,,終了
2025-11-30,,第21回北信越ブロックバウンドテニス選手権大会,滑川総合体育館（富山県）,,終了
2025-12-13,,第44回全日本バウンドテニス選手権大会 石川県予選,白山郷公園体育館,,終了
2026-02-01,,令和7年度石川県バウンドテニス選手権大会,いしかわ総合スポーツセンター,,終了
2026-02-15,,第29回石川県バウンドテニスチーム別大会,いしかわ総合スポーツセンター,,終了
2026-07-10,2026-07-11,第44回全日本バウンドテニス選手権大会,東京体育館,,終了
